"","VFI.U1","VFI.U2","VFI.U3","VFI.U4","VFI.U5","VFI.V1","VFI.V2","VFI.V3","VFI.V4","VFI.V5","VFI.E1","VFI.E2","VFI.E3","VFI.E4","VFI.E5","VFI.P1","VFI.P2","VFI.P3","VFI.P4","VFI.P5","VFI.C1","VFI.C2","VFI.C3","VFI.C4","VFI.C5","VFI.NB1","VFI.NB2","VFI.NB3","VFI.NB4","VFI.NB5","Ctrl_2","Att_1","Att_2","Att_3","Att_4","Att_5","Att_6","Att_7","Att_8","Att_9","SN_1","SN_2","SN_3","SN_4","SN_5","PBC_1","PBC_2","PBC_4","PBC_5","Int_1","Int_2","Int_4"
"1",4,4,4,5,4,7,6,6,7,5,1,3,6,1,5,4,2,5,6,5,5,3,6,5,4,7,5,6,5,4,4,5,6,5,4,4,6,5,6,6,5,5,4,6,5,6,4,5,6,5,5,4
"2",7,7,7,6,6,7,7,7,7,7,6,5,4,4,6,7,6,4,4,5,7,7,6,5,7,7,5,5,5,5,5,7,7,5,7,7,7,7,7,7,5,5,5,7,5,6,5,6,6,5,5,5
"3",6,5,5,5,5,6,1,6,7,6,4,4,4,4,5,4,4,2,4,5,6,4,4,4,6,4,4,4,4,4,4,5,5,5,6,6,4,5,5,5,5,4,4,4,4,3,5,4,5,3,3,4
"4",6,5,6,5,5,6,4,6,7,6,4,4,5,4,5,4,4,1,1,1,6,6,5,6,7,1,1,1,1,1,1,6,5,5,5,6,6,5,6,6,1,1,1,7,1,2,1,5,2,1,1,1
"5",6,6,7,6,7,7,6,7,7,6,6,3,6,4,6,4,5,6,5,5,7,7,6,7,6,3,3,5,3,5,2,7,6,6,6,6,7,5,7,7,5,3,4,6,5,3,5,6,2,5,6,6
"6",3,6,5,5,7,5,5,5,6,5,5,3,6,5,5,3,6,5,5,3,1,2,6,2,5,2,2,2,2,2,2,4,4,4,4,4,5,4,5,5,4,4,2,6,2,7,5,5,7,3,3,3
"7",7,6,4,6,5,6,7,6,6,7,6,5,5,4,3,1,3,2,3,4,6,5,6,6,6,6,4,4,2,4,5,6,5,6,5,6,7,5,7,7,3,6,4,7,4,7,4,6,6,7,7,7
"8",5,2,4,4,1,3,1,5,5,1,1,1,1,1,5,1,1,1,1,1,6,5,5,4,5,5,1,1,1,1,1,5,5,5,5,4,5,5,5,6,1,1,1,7,1,7,6,6,7,1,1,1
"9",7,7,7,7,5,7,7,7,7,7,7,5,6,7,4,7,4,2,2,3,7,7,4,4,5,5,5,7,5,5,7,7,7,5,6,6,7,5,5,7,4,4,5,7,6,6,6,7,5,3,3,3
"10",5,6,6,7,6,6,6,6,6,6,7,6,6,6,5,7,7,4,7,7,5,5,5,5,7,2,5,5,1,6,5,7,7,5,7,6,6,5,6,7,4,2,3,6,3,6,5,6,7,4,5,5
"11",5,7,7,7,6,7,7,7,7,6,6,5,5,5,3,6,6,3,3,5,7,6,7,6,5,7,5,6,6,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"12",2,2,2,4,7,6,5,2,3,5,5,2,4,4,7,1,2,3,3,4,7,2,2,3,7,1,3,2,2,1,5,7,4,4,4,4,5,4,5,4,2,4,4,7,4,2,7,7,2,4,7,2
"13",1,2,5,7,1,6,6,7,7,6,7,1,5,7,2,2,6,5,2,2,5,1,2,1,2,5,3,3,6,5,7,7,5,3,5,5,7,3,4,7,7,6,5,7,5,7,5,6,7,1,1,3
"14",6,6,6,6,6,6,4,6,6,6,6,6,7,6,6,6,3,1,2,3,7,6,6,6,6,6,5,6,3,6,6,5,6,5,6,6,6,7,6,6,6,7,4,7,7,7,6,7,7,6,7,6
"15",7,6,6,6,6,7,7,6,6,6,1,2,3,3,7,5,3,1,6,5,6,3,6,6,6,2,2,2,2,2,6,6,6,6,6,6,6,6,6,6,3,2,3,7,2,6,6,6,6,7,6,6
"16",5,6,6,6,4,6,6,6,7,5,4,4,2,4,2,2,1,4,1,1,6,7,4,5,7,5,4,5,5,6,6,7,4,6,6,6,7,6,7,7,5,4,4,7,6,7,6,7,7,7,6,7
"17",5,4,5,6,5,5,5,6,7,5,5,4,5,5,5,3,5,5,2,3,6,6,5,5,7,5,3,4,5,4,5,7,6,6,6,6,7,6,7,7,3,5,4,6,5,6,6,7,6,7,7,7
"18",6,7,6,6,6,7,6,6,7,6,5,6,5,5,5,6,6,6,6,6,4,2,4,4,4,2,3,2,1,3,3,7,7,7,7,6,6,7,7,7,4,2,3,3,3,2,5,6,7,3,3,3
"19",6,6,4,6,6,6,6,5,6,6,3,4,5,3,3,6,5,3,5,5,6,3,5,5,3,6,3,2,5,3,3,6,6,6,6,5,6,6,6,6,3,3,2,6,4,6,2,5,7,6,6,5
"20",5,6,6,6,6,3,2,3,4,6,2,4,5,4,6,2,4,4,4,3,5,5,5,5,7,3,2,2,2,4,3,5,5,5,5,5,5,4,5,5,1,2,1,3,2,5,4,6,7,3,3,3
"21",5,6,6,6,6,6,6,6,7,6,6,4,6,6,6,5,6,5,3,5,4,4,4,3,5,2,4,3,2,4,3,7,7,7,7,7,7,7,7,7,3,3,6,7,7,7,7,6,7,4,4,5
"22",7,7,7,7,7,7,6,7,7,7,7,7,7,7,5,7,7,4,7,7,4,4,7,4,1,2,5,5,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"23",5,4.5,6,2,5,7,7,6,7,6,4,1,3,1,3,5,1,1,1,1,3,1,5,1,1,7,7,5,4,5,7,7,7,7,7,6,7,7,7,7,7,5,6,7,5,7,7,7,7,7,7,7
"24",5,6,6,5,6,6,6,5,7,6,6,3,4,5,6,6,5,3,4,4,5,5,4,5,5,5,3,5,5,2,5,6,6,6,6,6,6,6,6,6,6,5,5,7,5,6,5,7,7,4,6,6
"25",6,7,6,6,6,7,6,6,7,6,6,5,3,5,6,6,5,2,5,4,6,5,5,5,6,6,7,6,5,6,5,7,7,6,7,7,7,7,7,7,6,6,3,7,7,7,5,7,7,4,5,4
"26",6,5,7,6,6,4,6,6,6,6,6,6,6,6,7,5,5,6,5,5,5,7,6,6,7,3,3,6,5,6,6,7,7,7,7,7,7,6,7,7,6,6,6,7,6,6,6,6,6,6,7,7
"27",7,6,6,7,6,7,7,7,6,7,7,7,2,2,2,1,2,7,2,2,7,7,6,6,6,7,7,5,7,7,5,7,3,3,6,6,7,3,6,6,7,6,6,7,6,7,4,7,6,5,5,6
"28",6,7,6,5,7,7,6,7,7,7,7,6,4,6,6,7,7,4,7,6,5,6,5,7,7,6,2,7,6,4,5,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,6,6,5
"29",6,5,4,5,5,6,6,7,6,5,4,5,4,4,5,4,3,4,4,4,5,5,4,4,6,7,5,5,5,5,6,7,7,7,7,7,7,7,7,7,6,6,5,6,6,7,7,7,7,4,4,4
"30",4,4,4,4,5,5,6,6,5,3,4,3,2,4,3,2,2,3,3,1,5,4,4,3,4,4,3,3,2,2,2,4,6,5,5,5,5,5,5,6,3,3,4,4,4,7,5,4,7,3,3,4
"31",1,5,7,5,7,6,5,5,5,4,1,4,5,5,5,4,1,5,1,4,5,5,7,6,7,1,1,1,1,1,1,7,5,4,7,7,6,4,4,7,2,3,4,6,4,7,6,7,7,7,7,7
"32",6,3,5,2,6,3,7,3,5,7,5,6,5,6,2,2,2,1,1,1,5,2,5,7,6,6,5,5,3,6,6,6,6,6,5,6,6,5,6,6,3,2,2,7,5,7,6,7,7,3,3,2
"33",6,5,2,6,5,6,2,6,5,3,5,4,2,2,5,5,2,2,2,3,5,6,5,4,6,5,4,4,4,2,4,6,5,5,5,5,5,5,4,5,6,5,5,5,5,5,5,6,5,6,5,5
"34",7,7,7,6,7,7,7,7,7,7,3,5,3,2,6,7,6,2,4,3,5,5,7,5,3,1,2,2,1,2,6,6,6,5,6,7,7,7,7,7,2,1,1,5,2,7,5,7,7,7,7,7
"35",5,5,6,4,7,6,6,5,7,6,4,4,3,5,5,2,2,3,4,2,4,2,2,2,6,3,2,2,2,4,3,6,5,5,5,4,7,5,6,7,3,4,4,5,4,7,7,7,5,4,4,4
"36",4,5,6,7,7,3,5,5,5,7,6,4,5,5,5,4,4,3,4,4,6,7,5,6,5,5,5,5,5,5,5,6,5,5,5,5,6,6,6,6,4,5,5,7,7,7,6,5,6,6,6,2
"37",6,7,6,6,6,6,6,7,7,6,6,6,6,6,6,5,5,5,5,6,5,6,6,6,6,5,6,5,5,5,4,7,7,7,6,7,7,7,7,7,5,5,5,7,6,4,6,5,7,4,4,4
"38",6,6,6,6,6,7,6,7,6,7,6,3,5,3,5,3,3,5,3,3,6,6,5,6,7,6,4,3,3,5,3,7,5,6,6,6,6,5,7,7,6,4,6,7,5,3,3,6,5,7,7,7
"39",1,6,3,7,4,6,6,6,7,4,6,1,5,5,2,2,4,1,1,3,2,5,6,2,7,2,6,4,1,5,3,7,7,7,7,7,7,7,6,7,4,1,4,7,5,7,7,7,7,7,5,7
"40",5,5,6,6,6,6,5,5,7,5,5,6,5,5,5,3,4,6,5,4,6,5,4,6,6,2,5,5,5,5,3,6,6,5,5,6,6,6,7,6,5,5,5,6,5,7,7,6,6,5,5,5
"41",7,7,7,7,7,6,5,7,6,7,7,7,7,5,5,5,3,4,3,5,7,1,4,7,7,3,1,1,1,7,3,7,7,7,5,7,7,4,7,7,3,1,2,7,7,7,3,7,6,5,7,7
"42",6,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,6,6,7,7,7,7,7,7,5,6,7,5,6,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"43",7,6,6,6,7,7,6,7,6,7,6,6,4,3,4,5,1,2,4,4,6,7,5,6,7,2,4,2,1,5,3,7,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,7,7,7,7
"44",7,7,7,7,7,7,7,7,6,7,5,5,5,5,7,6,4,4,5,4,5,5,7,7,4,2,5,2,2,1,6,7,7,7,7,4,4,7,7,7,4,4,3,5,2,7,7,7,7,7,7,7
"45",6,6,6,5,6,3,6,6,6,6,6,5,5,5,4,5,5,4,5,5,6,6,6,6,7,5,5,6,6,5,2,6,5,5,5,6,6,6,6,6,7,6,6,6,6,5,5,6,5,7,7,6
"46",6,6,6,6,6,6,6,7,6,5,5,3,3,3,5,4,5,3,5,4,5,5,5,5,5,3,2,2,2,4,3,5,5,5,5,5,6,6,6,6,2,2,2,6,4,4,5,5,5,4,4,5
"47",6,5,5,6,7,6,5,5,6,6,6,6,6,6,5,3,6,7,3,6,5,6,3,6,6,6,7,7,2,6,6,6,6,6,6,6,6,6,6,6,3,5,4,7,5,7,7,7,7,7,7,7
"48",5,5,5,5,4,5,5,4,6,4,5,4,3,2,4,3,4,4,3,3,5,5,4,3,5,5,5,5,4,4,5,6,5,6,6,6,5,5,5,5,5,5,5,5,4,6,6,5,6,5,5,5
"49",5,5,5,6,6,5,4,6,6,6,7,5,6,6,6,6,5,2,6,6,6,5,6,6,6,5,3,2,2,5,6,7,7,6,6,7,7,6,7,7,4,3,4,7,6,7,6,7,7,6,7,7
"50",7,7,7,7,6,5,7,6,5,7,6,7,7,7,5,6,6,5,4,7,6,7,7,7,7,3,4,4,4,4,6,7,7,6,7,6,7,2,7,7,6,1,4,4,4,6,5,4,1,3,5,5
"51",3,5,5,7,6,7,3,7,7,4,3,6,6,5,4,2,5,3,5,4,6,7,5,5,7,1,3,4,1,4,3,7,7,7,6,5,5,7,6,7,5,6,3,7,7,6,3,4,7,4,5,5
"52",7,6,7,7,7,7,7,7,7,7,4,5,4,6,7,6,3,7,5,7,7,7,6,7,7,7,6,7,6,7,7,7,6,7,6,6,7,6,7,7,7,6,6,7,6,7,6,6,7,7,7,7
"53",6,6,7,7,7,4,6,6,7,7,7,7,6,7,5,7,6,6,7,7,7,6,7,7,7,5,5,6,3,7,7,7,7,7,7,7,7,7,7,7,4,4,4,6,6,7,6,7,7,6,6,6
"54",7,7,7,6,6,5,4,7,6,7,6,5,6,4,6,1,6,1,1,5,7,7,4,6,7,3,1,1,2,2,4,7,7,7,7,7,7,7,7,6,4,6,4,7,7,7,5,6,7,5,6,5
"55",5,5,6,5,5,6,6,6,6,5,5,5,6,6,5,5,5,5,5,5,5,5,6,5,6,6,5,5,5,5,5,6,5,5,5,5,5,5,5,5,5,4,4,4,5,5,3,3,3,7,7,6
"56",7,7,7,7,6,7,7,7,6,6,3,5,3,3,6,5,2,2,2,2,7,7,6,6,5,5,5,2,3,2,2,7,7,7,7,7,7,6,7,7,6,4,4,7,5,5,3,7,5,5,6,7
"57",5,7,5,7,6,6,6,6,6,6,6,3,6,6,5,6,6,3,5,5,6,5,6,7,6,4,5,4,3,4,3,7,5,5,3,5,6,5,6,5,6,6,6,6,7,7,3,7,7,7,7,6
"58",7,7,7,7,7,7,7,7,7,7,6,4,7,5,5,7,6,5,6,5,6,7,7,7,6,5,4,5,4,4,7,7,7,7,7,7,7,7,7,7,6,5,4,4,5,6,7,7,7,7,7,7
"59",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7
"60",7,6,7,7,5,7,6,7,7,7,5,5,5,5,5,4,6,4,5,4,7,7,5,7,7,4,1,1,1,1,2,7,6,6,6,6,7,5,7,6,3,4,5,7,5,7,6,7,7,6,6,6
"61",6,6,6,5,7,5,6,6,7,6,5,5,5,6,7,6,5,6,5,5,6,6,6,5,7,5,3,3,3,3,3,6,6,7,7,6,7,7,6,7,3,2,3,4,5,6,5,6,6,2,2,4
"62",5,6,6,5,6,3,5,6,6,4,5,6,5,5,6,3,5,3,1,5,5,3,6,3,7,1,1,1,1,1,2,7,7,7,6,6,5,6,5,7,1,2,1,7,6,7,7,7,7,1,1,3
"63",6,5,6,5,6,6,4,6,6,6,5,5,5,5,6,4,2,5,5,4,7,6,6,5,6,3,2,2,3,4,6,6,6,5,7,6,7,6,7,7,3,3,3,6,4,7,5,7,6,6,5,6
"64",6,6,6,6,6,6,6,7,7,6,6,2,4,4,5,4,2,4,2,2,6,6,3,3,6,3,2,2,1,2,3,5,5,5,5,5,5,5,6,5,2,2,2,6,2,7,4,6,7,3,5,5
"65",7,7,7,7,7,6,7,7,7,7,7,2,1,7,6,2,1,1,1,1,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,6,7,7,7,6,6,7,7,7,7,7,7,7,7,7
"66",7,6,6,7,5,7,7,7,6,7,3,3,3,3,4,5,2,1,3,2,6,5,6,5,5,7,4,5,6,5,6,6,6,6,7,5,7,6,7,7,7,7,6,7,4,6,5,7,6,7,7,7
"67",5,5,5,5,5,7,5,5,6,5,5,5,5,5,5,4,4,5,2,4,7,6,5,5,5,2,2,2,2,2,2,6,6,6,6,6,6,6,6,6,2,4,4,2,4,4,3,4,4,4,4,4
"68",5,3,5,5,6,5,4,5,6,6,5,3,4,5,5,4,4,2,4,3,6,5,4,3,6,5,5,5,5,5,5,5,2,6,6,6,6,6,6,6,3,6,4,6,5,4,5,6,5,4,5,5
"69",6,7,7,7,7,7,6,7,7,7,6,6,7,7,7,5,3,7,7,7,6,6,7,7,7,7,5,2,2,7,3,6,6,6,6,6,6,6,6,6,2,1,2,7,2,7,4,7,7,4,4,3
"70",6,6,6,6,7,7,6,6,6,6,6,6,6,6,6,3,6,6,6,6,6,6,6,6,6,4,6,1,5,6,6,7,7,7,7,6,6,7,7,7,6,3,6,6,6,7,7,7,7,7,7,7
"71",7,5,4,5,4,6,6,6,5,3,5,6,6,5,5,2,2,5,2,2,4,6,3,1,6,2,2,1,2,1,4,6,7,5,4,4,6,5,4,5,2,1,1,6,1,5,5,4,7,2,2,1
"72",3,5,7,5,7,5,7,2,5,5,7,7,7,7,7,1,7,5,1,1,7,7,7,7,7,6,6,6,6,1,7,4,3,4,4,4,4,4,4,4,5,1,1,7,4,7,7,7,7,1,1,1
"73",7,5,7,5,7,7,1,6,6,6,6,5,4,4,6,4,5,4,2,1,7,7,6,6,7,5,5,4,4,4,6,6,6,7,6,6,6,6,6,6,6,5,7,7,5,4,7,7,7,6,5,6
"74",6,6.2,7,6,6,7,7,7,7,7,7,6,6,6,5,7,7,2,5,6,7,6,7,7,6,5,5,3,5,4,5,7,7,7,7,7,7,7,7,7,4,4,4,7,7,7,7,7,7,7,7,7
"75",7,6,7,7,6,5,6,6,6,6,6,5,6,5,7,5,6,5,5,6,7,7,5,7,6,4,4,4,4,4,5,7,7,7,6,6,6,6,7,7,4,4,2,4,2,4,3,7,6,4,5,5
"76",7,7,6,6,6,7,6,7,7,7,4,5,5,5,5,6,5,4,6,6,5,5,5,6,3,5,4,6,3,5,6,7,7,7,7,6,7,7,5,7,7,7,5,7,5,7,6,7,6,7,7,7
"77",6,6,6,6,7,4,6,6,6,7,6,6,6,6,7,6,1,2,6,6,7,5,6,6,6,4,5,6,6,6,7,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"78",2,7,7,2,6,6,6,7,7,5,6,6,1,6,1,2,2,6,6,3,6,2,2,7,7,7,6,7,6,6,6,6,6,7,7,7,7,7,7,6,7,7,6,7,7,2,7,7,7,7,7,6
"79",6,6,6,6,6,6,6,6,6,6,6,6,4,5,5,5,6,4,4,4,6,6,6,5,6,5,5,5,5,5,6,6,6,6,6,6,6,6,6,6,3,5,4,7,4,4,5,5,3,7,5,5
"80",6,6,6,5,5,7,5,7,7,7,5,4,5,5,6,4,4,4,4,4,7,4,6,4,5,2,4,5,5,4,5,7,7,7,6,7,7,7,7,7,5,4,4,6,4,5,5,7,5,7,7,7
"81",5,5,4,4,4,6,5,5,5,4,4,4,5,4,5,4,5,5,5,4,6,5,5,5,5,5,4,4,3,4,3,5,5,7,5,5,4,6,6,5,4,3,4,5,5,5,3,5,4,4,3,3
"82",4,2,5,5,3,1,7,5,5,4,6,2,3,1,5,3,1,4,1,1,5,5,7,6,6,1,3,2,2,1,6,4,4,4,4,7,6,4,7,4,1,2,2,1,2,7,5,7,7,7,7,7
"83",6,7,7,5,7,7,7,6,7,7,6,5,6,6,5,5,5,5,6,4,7,7,7,7,6,5,6,6,5,5,3,7,6,7,5,7,7,6,7,6,5,6,4,7,7,6,6,6,6,6,6,6
"84",7,7,5,7,7,7,7,7,7,7,4,7,2,2,5,6,4,6,4,3,5,5,5,5,5,4,6,5,4,5,7,7,6,7,6,6,7,6,7,7,5,5,5,7,7,6,7,6,6,7,7,7
"85",6,5,6,6,6,6,6,6,7,6,6,5,5,5,6,5,3,5,4,5,6,5,6,6,6,6,5,4,6,3,5,7,7,7,7,7,7,7,7,7,5,4,6,7,5,7,6,7,7,6,7,6
"86",5,6,6,6,7,6,6,6,6,6,6,5,5,5,6,6,6,1,6,6,6,6,6,6,6,5,2,2,3,4,5,7,7,7,7,7,7,7,7,7,2,2,2,5,4,2,7,7,4,4,4,2
"87",7,7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,6,5,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7
"88",6,6,6,6,6,3,6,6,6,7,6,6,6,6,6,1,6,6,4,6,5,6,6,4,6,4,2,2,5,5,6,7,7,7,7,7,7,7,7,7,4,5,4,7,5,7,7,7,7,4,4,4
"89",7,7,7,7,7,6,7,7,7,6,6,7,6,6,7,7,7,4,4,4,4,7,6,5,7,4,4,4,4,4,6,7,7,7,7,7,7,7,7,7,4,5,4,6,5,7,7,7,7,7,7,7
"90",7,4,5,5,4,7,7,7,7,7,7,1,1,1,6,4,1,1,1,1,4,1,1,1,1,7,2,4,1,2,4,7,7,7,7,7,7,7,7,7,6,6,6,7,7,7,6,7,6,4,4,4
"91",7,7,6,4,6,4,6,7,7,7,5,5,4,3,6,5,4,1,4,4,5,6,6,5,6,4,6,7,6,6,7,6,6,5,6,6,7,6,3,6,7,4,5,6,7,7,5,7,7,6,5,5
"92",6,6,6,6,6,6,6,6,6,6,4,4,4,4,6,4,5,5,5,5,7,7,6,7,6,6,6,5,3,5,5,6,5,6,5,5,5,5,5,6,5,6,5,7,7,7,3,6,7,4,4,4
"93",6,6,7,7,7,5,6,7,7,7,6,6,6,6,6,4,4,4,4,3,7,7,6,3,4,5,6,7,7,5,6,6,4,3,4,6,4,4,5,7,7,5,5,7,5,7,5,7,7,4,4,3
"94",6,5,5,5,6,6,6,7,7,6,6,5,5,5,5,6,6,5,4,5,7,6,6,5,6,1,1,1,1,5,6,7,7,7,7,7,7,7,7,7,4,4,4,7,4,6,6,7,7,7,7,6
"95",5,3,5,5,5,5,2,2,6,6,5,2,1,1,5,1,5,1,1,1,7,5,5,3,7,1,1,1,1,1,1,5,5,7,5,3,7,7,5,5,1,1,1,7,1,7,4,6,6,2,1,4
"96",7,5,6,7,7,6,6,6,7,7,4,4,5,4,7,6,6,1,4,6,5,6,5,5,5,6,7,7,7,4,7,6,6,6,6,6,7,6,7,7,7,7,7,7,6,6,7,7,3,7,7,7
"97",7,7,4,5,6,7,7,7,7,7,4,1,4,1,2,3,2,1,2,1,2,2,2,3,1,7,7,6,2,7,5,7,4,7,7,7,7,7,7,7,7,3,7,7,7,3,7,7,3,3,4,5
"98",6,6,6,7,7,7,7,7,7,7,7,6,7,7,7,6,6,6,6,6,5,2,2,5,7,4,5,5,5,5,6,7,7,7,7,7,7,7,7,7,5,4,5,5,5,7,7,7,7,7,7,7
"99",6,7,7,7,7,4,1,1,1,7,4,1,1,1,6,1,4,1,1,1,6,6,6,2,6,1,1,1,1,1,6,4,4,1,4,1,1,1,4,4,1,1,1,7,4,7,7,7,7,1,1,1
"100",7,7,7,6,7,5,1,7,7,7,6,7,4,7,7,5,5,6,7,6,7,7,7,7,7,4,5,7,5,7,5,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,4,7,7
"101",5,6,5,6,7,6,3,5,6,6,5,6,6,5,5,5,5,5,6,5,6,6,6,4,5,2,1,5,2,2,5,6,6,6,6,5,6,7,6,6,3,4,7,3,2,5,6,6,5,5,7,5
"102",7,6,6,6,6,6,7,7,6,6,6,4,6,6,7,5,6,4,6,5,6,4,6,5,6,6,7,5,7,4,6,6,6,6,6,6,6,7,6,7,6,6,6,7,6,7,3,6,7,6,4,5
"103",7,6,7,6,7,7,7,6,6,6,7,4,7,5,6,5,5,5,5,5,6,7,6,7,6,6,5,5,7,5,7,7,6,5,6,6,6,6,5,7,6,6,5,6,5,4,7,7,4,7,6,7
"104",7,7,7,7,7,7,7,6,7,7,7,7,6,6,7,6,6,4,7,4,7,4,5,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,6,7,7,7,7,7
"105",6,6,5,6,6,7,5,7,7,7,4,4,5,2,3,2,2,2,2,2,5,5,3,3,6,6,5,6,3,7,6,7,5,5,5,3,6,5,7,7,3,3,4,6,7,6,4,6,7,7,7,7
"106",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,6,7,7,5,7,7,7,5,7,7,6,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7
"107",4,4,4,4,4,7,4,7,6,4,3,4,4,4,4,1,4,4,4,4,4,4,4,4,5,3,4,5,1,1,2,3,3,2,3,3,3,3,3,3,2,2,2,4,2,7,2,6,7,1,3,2
"108",7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,7,5,7,7,7,6,7
"109",6,5,5,6,6,6,5,6,6,6,4,5,4,5,6,4,4,2,4,4,6,6,3,5,6,5,2,2,3,4,3,6,6,6,6,6,6,6,6,6,6,5,2,7,5,7,7,7,6,7,7,7
"110",3,5,4,3,6,3,4,5,7,5,3,4,4,4,5,5,4,2,4,4,4,3,4,4,5,3,1,2,2,1,3,5,5,4,5,5,6,5,6,5,3,4,3,4,2,5,5,6,5,5,5,4
"111",4,6,6,4,4,6,6,6,6,6,4,2,4,4,4,4,4,2,4,4,4,4,4,4,4,7,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,6,7,6,6,7,6,6,6
"112",5,6,6,7,7,3,2,4,7,7,5,5,6,5,7,3,4,1,4,4,6,6,5,5,7,3,1,2,2,4,4,7,7,7,7,7,7,7,7,7,2,2,2,7,4,7,6,7,7,4,4,4
"113",4,6,6,4,7,4,5,6,6,4,6,5,4,4,7,2,4,5,4,1,7,6,6,4,7,5,4,6,5,4,1,4,4,4,4,2,4,4,4,4,4,3,4,4,4,4,1,4,4,4,4,4
"114",7,7,7,5,6,6,6,7,6,7,7,7,6,7,6,6,7,6,6,6,6,7,6,7,7,3,5,2,5,6,5,7,6,6,5,6,7,7,6,6,5,6,3,7,7,7,6,7,7,7,7,6
"115",5,7,4,6,5,6,6,4,7,6,5,6,5,4,5,7,5,1,5,5,6,7,7,5,5,5,1,1,7,1,1,7,6,6,6,7,6,6,7,7,5,5,7,2,6,6,1,1,1,6,1,2
"116",7,6,6,6,6,6,6,6,6,6,6,5,4,4,5,6,5,5,4,2,5,6,6,5,5,5,5,5,5,3,6,6,6,5,6,6,6,5,6,6,6,5,4,6,4,5,5,6,7,5,5,5
"117",6,5,6,5,5,5,4,5,6,5,4,4,4,4,6,4,3,4,4,4,5,5,4,5,6,5,2,4,4,4,4,5,5,5,5,5,5,5,5,5,2,2,2,6,3,7,5,7,7,4,4,4
"118",4,6,5,5,6,7,6,7,7,6,6,6,6,6,5,5,6,1,2,1,5,5,5,6,6,2,2,2,2,2,5,7,6,5,6,7,7,5,7,7,2,3,4,7,5,7,7,7,7,7,7,7
"119",7,5,6,7,7,7,4,7,7,4,6,5,7,7,7,4,4,5,5,5,7,7,5,6,7,7,5,4,4,4,4,5,5,5,5,4,5,5,5,5,4,6,5,6,5,5,6,6,5,3,6,5
"120",6,5,7,6,6,7,5,7,7,7,6,6,6,5,4,5,4,6,2,5,4,3,5,2,4,5,3,2,6,2,2,7,7,7,7,7,7,7,7,7,3,3,2,7,4,7,5,6,6,5,4,4
"121",5,5,6,5,6,5,6,6,6,6,5,5,5,5,5,3,4,2,2,4,6,6,6,6,6,3,4,5,5,5,3,7,6,6,6,6,7,6,7,6,4,4,4,7,5,6,3,7,5,7,7,7
"122",6,6,6,6,6,6,5,7,6,7,4,6,6,4,5,1,2,3,2,1,6,6,6,7,7,3,5,4,5,4,6,5,3,5,5,6,6,5,5,6,6,6,3,7,4,3,5,7,7,2,6,6
"123",7,7,6,6,6,7,7,7,7,5,7,5,5,5,6,5,5,5,5,4,5,5,6,6,6,3,3,2,4,3,5,7,6,7,7,6,6,6,6,6,5,6,5,7,6,7,5,6,7,6,6,6
"124",5,4,5,6,5,4,5,5,5,5,4,1,2,2,5,1,3,4,1,1,5,4,4,1,5,2,1,1,1,1,2,4,4,4,4,2,2,4,4,4,1,1,1,5,1,7,1,1,7,1,1,1
"125",5,6,5,5,5,6,7,6,6,6,5,5,5,6,4,5,2,5,4,4,6,5,4,6,6,5,1,3,2,4,5,7,6,5,5,7,6,5,7,7,5,5,5,7,6,5,4,6,6,7,7,7
"126",4,5,5,6,5,6,5,6,6,6,6,4,4,5,6,3,5,5,5,4,7,5,5,6,7,1,1,1,1,1,5,7,6,6,6,6,6,6,7,6,3,1,4,4,4,7,6,7,7,1,1,1
"127",7,7,7,6,7,6,5,7,7,7,7,5,6,6,6,6,5,6,4,5,6,6,5,7,7,3,4,3,2,4,6,7,7,6,6,7,7,6,7,7,2,3,2,4,5,6,6,7,7,6,6,6
